name	A	Ar	sid
PAO1 ¡÷pvdD ¡÷pchEF	0.4616	0.6536	0.29375765
PAO1 ¡÷pvdD ¡÷pchEF	0.4588	0.6536	0.298041616
PAO1 ¡÷pvdD ¡÷pchEF	0.4538	0.6536	0.305691554
PAO1 ¡÷pvdD ¡÷pchEF	0.4776	0.6536	0.269277846
H111 ¡÷orbJ ¡÷pchAB	0.4801	0.6536	0.265452876
H111 ¡÷orbJ ¡÷pchAB	0.4881	0.6536	0.253212974
H111 ¡÷orbJ ¡÷pchAB	0.4763	0.6536	0.27126683
H111 ¡÷orbJ ¡÷pchAB	0.4907	0.6536	0.249235006
PAO1 WT	0.0637	0.6536	0.90253978
PAO1 WT	0.0589	0.6536	0.909883721
PAO1 WT	0.0593	0.6536	0.909271726
PAO1 WT	0.1033	0.6536	0.841952264
H111 WT	0.0509	0.6536	0.922123623
H111 WT	0.0513	0.6536	0.921511628
H111 WT	0.0694	0.6536	0.893818849
H111 WT	0.0686	0.6536	0.89504284
