srians	Fe	RBAave	RBAr630
BS0001	0	0.5267	0.6536
BS0002	0	0.37	0.6536
BS0003	0	0.3386	0.6536
BS0004	0	0.196	0.6536
BS0005	0	0.3142	0.6536
BS0006	0	0.4452	0.6536
BS0007	0	0.0498	0.6536
BS0008	0	0.0476	0.6536
BS0009	0	0.044	0.6536
BS0010	0	0.0953	0.6536
BS0011	0	0.0875	0.6536
BS0012	0	0.412	0.6536
BS0013	0	0.0566	0.6536
BS0014	0	0.0554	0.6536
BS0015	0	0.0562	0.6536
BS0016	0	0.0564	0.6536
BS0017	0	0.0566	0.6536
BS0018	0	0.0545	0.6536
BS0019	0	0.4566	0.6536
BS0020	0	0.2488	0.6536
BS0021	0	0.0556	0.6536
BS0022	0	0.0534	0.6536
BS0023	0	0.053	0.6536
BS0024	0	0.0521	0.6536
BS0025	0	0.0555	0.6536
BS0026	0	0.0495	0.6536
BS0027	0	0.0562	0.6536
BS0028	0	0.0497	0.6536
BS0029	0	0.1075	0.6536
BS0030	0	0.4062	0.6536
BS0031	0	0.4245	0.6536
BS0032	0	0.2364	0.6536
BS0033	0	0.0498	0.6536
BS0034	0	0.056	0.6536
BS0035	0	0.3766	0.6536
BS0036	0	0.1163	0.6536
BS0037	0	0.056	0.6536
BS0038	0	0.0665	0.6536
BS0039	0	0.4112	0.6536
BS0040	0	0.0589	0.6536
BS0041	0	0.3211	0.6536
BS0042	0	0.1277	0.6536
BS0043	0	0.0727	0.6536
BS0044	0	0.3326	0.6536
BS0045	0	0.0567	0.6536
BS0046	0	0.0737	0.6536
BS0047	0	0.1158	0.6536
BS0048	0	0.09	0.6536
BS0049	0	0.0433	0.6536
BS0050	0	0.4467	0.6536
BS0051	0	0.0809	0.6536
BS0052	0	0.0561	0.6536
BS0053	0	0.0561	0.6536
BS0054	0	0.0559	0.6536
BS0055	0	0.0576	0.6536
BS0056	0	0.0555	0.6536
BS0057	0	0.0498	0.6536
BS0058	0	0.0559	0.6536
BS0059	0	0.0577	0.6536
BS0060	0	0.0552	0.6536
BS0061	0	0.1229	0.6536
BS0062	0	0.1099	0.6536
BS0063	0	0.0443	0.6536
BS0064	0	0.471	0.6536
BS0065	0	0.0554	0.6536
BS0066	0	0.0439	0.6536
BS0067	0	0.063	0.6536
BS0068	0	0.0509	0.6536
BS0069	0	0.0553	0.6536
BS0070	0	0.0568	0.6536
BS0071	0	0.0553	0.6536
BS0072	0	0.0497	0.6536
BS0073	0	0.0709	0.6536
BS0074	0	0.1034	0.6536
BS0075	0	0.0602	0.6536
BS0076	0	0.1143	0.6536
BS0077	0	0.1456	0.6536
BS0078	0	0.0685	0.6536
BS0079	0	0.17	0.6536
BS0080	0	0.436	0.6536
BS0081	0	0.0568	0.6536
BS0082	0	0.3776	0.6536
BS0083	0	0.0565	0.6536
BS0084	0	0.0674	0.6536
BS0085	0	0.2029	0.6536
BS0086	0	0.0851	0.6536
BS0087	0	0.0915	0.6536
BS0088	0	0.0506	0.6536
BS0089	0	0.0515	0.6536
BS0090	0	0.3667	0.6536
BS0091	0	0.0513	0.6536
BS0092	0	0.0418	0.6536
BS0093	0	0.3332	0.6536
BS0094	0	0.3438	0.6536
BS0095	0	0.2301	0.6536
BS0096	0	0.0766	0.6536
BS0097	0	0.1239	0.6536
BS0098	0	0.0454	0.6536
BS0099	0	0.1569	0.6536
BS0100	0	0.0699	0.6536
BS0101	0	0.052	0.6536
BS0102	0	0.0507	0.6536
BS0103	0	0.3651	0.6536
BS0104	0	0.3529	0.6536
BS0105	0	0.3515	0.6536
BS0106	0	0.3707	0.6536
BS0107	0	0.0521	0.6536
BS0108	0	0.0512	0.6536
BS0109	0	0.3659	0.6536
BS0110	0	0.1004	0.6536
BS0111	0	0.0426	0.6536
BS0112	0	0.3386	0.6536
BS0113	0	0.0951	0.6536
BS0114	0	0.0605	0.6536
BS0115	0	0.0496	0.6536
BS0116	0	0.3621	0.6536
BS0117	0	0.3647	0.6536
BS0118	0	0.368	0.6536
BS0119	0	0.3751	0.6536
BS0120	0	0.052	0.6536
BS0121	0	0.3783	0.6536
BS0122	0	0.1236	0.6536
BS0123	0	0.3605	0.6536
BS0124	0	0.0507	0.6536
BS0125	0	0.0512	0.6536
BS0126	0	0.3483	0.6536
BS0127	0	0.1586	0.6536
BS0128	0	0.3616	0.6536
BS0129	0	0.2938	0.6536
BS0130	0	0.0556	0.6536
BS0131	0	0.319	0.6536
BS0132	0	0.3529	0.6536
BS0133	0	0.0514	0.6536
BS0134	0	0.3508	0.6536
BS0135	0	0.0675	0.6536
BS0136	0	0.0506	0.6536
BS0137	0	0.0523	0.6536
BS0138	0	0.3292	0.6536
BS0139	0	0.356	0.6536
BS0140	0	0.3356	0.6536
BS0141	0	0.3622	0.6536
BS0142	0	0.3792	0.6536
BS0143	0	0.0507	0.6536
BS0144	0	0.317	0.6536
BS0145	0	0.051	0.6536
BS0146	0	0.3399	0.6536
BS0147	0	0.2758	0.6536
BS0148	0	0.0496	0.6536
BS0149	0	0.353	0.6536
BS0150	0	0.3467	0.6536
BS0151	0	0.3515	0.6536
BS0152	0	0.3564	0.6536
BS0153	0	0.3338	0.6536
BS0154	0	0.0502	0.6536
BS0155	0	0.2399	0.6536
BS0156	0	0.0499	0.6536
BS0157	0	0.3672	0.6536
BS0158	0	0.3984	0.6536
BS0159	0	0.0497	0.6536
BS0160	0	0.3613	0.6536
BS0161	0	0.3954	0.6536
BS0162	0	0.3455	0.6536
BS0163	0	0.3434	0.6536
BS0164	0	0.3548	0.6536
BS0165	0	0.1213	0.6536
BS0166	0	0.3618	0.6536
BS0167	0	0.0497	0.6536
BS0168	0	0.3444	0.6536
BS0169	0	0.4251	0.6536
BS0170	0	0.4169	0.6536
BS0171	0	0.4932	0.6536
BS0172	0	0.0937	0.6536
BS0173	0	0.3382	0.6536
BS0174	0	0.3568	0.6536
BS0175	0	0.375	0.6536
BS0176	0	0.3872	0.6536
BS0177	0	0.0584	0.6536
BS0178	0	0.4462	0.6536
BS0179	0	0.084	0.6536
BS0180	0	0.4719	0.6536
BS0181	0	0.4742	0.6536
BS0182	0	0.465	0.6536
BS0183	0	0.5034	0.6536
BS0184	0	0.4242	0.6536
BS0185	0	0.1021	0.6536
BS0186	0	0.3283	0.6536
BS0187	0	0.1317	0.6536
BS0188	0	0.3128	0.6536
BS0189	0	0.2896	0.6536
BS0190	0	0.3431	0.6536
BS0191	0	0.44	0.6536
BS0192	0	0.4337	0.6536
BS0193	0	0.2963	0.6536
BS0194	0	0.0516	0.6536
BS0195	0	0.4963	0.6536
BS0196	0	0.1135	0.6536
BS0197	0	0.1167	0.6536
BS0198	0	0.2678	0.6536
BS0199	0	0.1014	0.6536
BS0200	0	0.1004	0.6536
BS0201	0	0.248	0.6536
BS0202	0	0.0912	0.6536
BS0203	0	0.0722	0.6536
BS0204	0	0.4242	0.6536
BS0205	0	0.315	0.6536
BS0206	0	0.4794	0.6536
BS0207	0	0.0963	0.6536
BS0208	0	0.0631	0.6536
BS0209	0	0.0823	0.6536
BS0210	0	0.0938	0.6536
BS0211	0	0.0772	0.6536
BS0212	0	0.2971	0.6536
BS0213	0	0.3415	0.6536
BS0214	0	0.4366	0.6536
BS0215	0	0.069	0.6536
BS0216	0	0.4307	0.6536
BS0217	0	0.3383	0.6536
BS0218	0	0.092	0.6536
BS0219	0	0.0891	0.6536
BS0220	0	0.4092	0.6536
BS0221	0	0.0597	0.6536
BS0222	0	0.3386	0.6536
BS0223	0	0.3363	0.6536
BS0224	0	0.0631	0.6536
BS0225	0	0.0591	0.6536
BS0226	0	0.0622	0.6536
BS0227	0	0.2338	0.6536
BS0228	0	0.4513	0.6536
BS0229	0	0.4442	0.6536
BS0230	0	0.3972	0.6536
BS0231	0	0.4009	0.6536
BS0232	0	0.1383	0.6536
BS0233	0	0.1139	0.6536
BS0234	0	0.4345	0.6536
BS0235	0	0.0912	0.6536
BS0236	0	0.4432	0.6536
BS0237	0	0.085	0.6536
BS0238	0	0.0609	0.6536
BS0239	0	0.0633	0.6536
BS0240	0	0.4072	0.6536
BS0241	0	0.06	0.6536
BS0242	0	0.0601	0.6536
BS0243	0	0.1332	0.6536
BS0244	0	0.1201	0.6536
BS0245	0	0.4402	0.6536
BS0246	0	0.0671	0.6536
BS0247	0	0.4414	0.6536
BS0248	0	0.4565	0.6536
BS0249	0	0.0565	0.6536
